CP,MA,MACD,K,D,R,Trend
253.9299927,0.485500721,0.004586597,0.007895355,0.00088961,0.067337891,0
250.0899963,0.484577124,-0.000530108,-0.165706607,-0.051102487,0.241207486,0
246.9199982,0.482460918,-0.007795152,-0.244586522,-0.20635024,0.320355033,1
248.7799988,0.479257257,-0.011355149,-0.120545379,-0.272154163,0.196581522,1
252.1499939,0.477162804,-0.010377833,0.048792369,-0.162259149,0.027511405,1
253.3600006,0.475928789,-0.008134151,0.10253034,0.015580063,-0.025958936,1
255.1399994,0.475883391,-0.00432197,0.181548655,0.170352433,-0.104709622,1
255.8899994,0.476016589,-0.000410246,0.214958654,0.255484525,-0.137851992,1
257.2000122,0.478300732,0.004126056,0.273198177,0.342922797,-0.195823887,1
260.0899963,0.480081757,0.010767515,0.337706906,0.42292724,-0.260064989,1
260.6499939,0.48163307,0.016525691,0.324022278,0.478803515,-0.246112735,0
258.5,0.482854332,0.018667321,0.243817903,0.463750534,-0.165640734,1
262.6199951,0.48352055,0.024565185,0.368231583,0.479388773,-0.289786789,1
263.269989,0.486137459,0.029679607,0.329452319,0.482170216,-0.2507399,1
263.4599915,0.489538238,0.033636917,0.317618019,0.519979806,-0.238637977,1
265.230011,0.49225756,0.038309622,0.343633965,0.507377079,-0.264386301,1
265.980011,0.495760802,0.0424142,0.296536247,0.490512561,-0.21702096,1
266.3599854,0.500508844,0.04563683,0.306679284,0.484907748,-0.226896376,1
266.5400085,0.506220453,0.047920963,0.301296991,0.463216632,-0.221246463,0
265.7900085,0.51147916,0.048462646,0.259653984,0.444320165,-0.179335836,0
265.3299866,0.515623732,0.047938593,0.236805595,0.40852117,-0.156219827,0
264.769989,0.51931743,0.04647985,0.194064228,0.353581986,-0.113210842,1
266.0700073,0.522378559,0.046267561,0.237677794,0.342322508,-0.15655679,1
273.9299927,0.525589801,0.053955845,0.371125276,0.41113836,-0.289736655,0
272.6199951,0.530576703,0.058075244,0.291644771,0.461131504,-0.209988533,0
272.519989,0.534427682,0.060627565,0.288319673,0.487076423,-0.206395819,1
273.1799927,0.538101293,0.062724827,0.311939114,0.456752932,-0.229747645,1
